subject_id,created_at,age,gender,education,drivingYears,annualMileage,eft_total,eft_avg_rt,layout,reactionTime,hit,mentalDemand,physicalDemand,temporalDemand,performance,effort,frustration,RTLX
2,2026-07-26T06:09:37.271053+00:00,29,male,大专,3-5年,10000-20000公里,9,2119.8888888888887,nav-led,1301.7999999523163,True,6,8,0,5,7,7,5.5
2,2026-07-26T06:09:37.271053+00:00,29,male,大专,3-5年,10000-20000公里,9,2119.8888888888887,balanced,1179.0999999046326,True,0,0,2,0,1,0,0.5
2,2026-07-26T06:09:37.271053+00:00,29,male,大专,3-5年,10000-20000公里,9,2119.8888888888887,sr-led,609.0999999046326,True,0,1,0,0,0,1,0.33
4,2026-07-26T07:43:43.750433+00:00,26,female,硕士及以上,1-3年,10000-20000公里,5,2554.6,sr-led,2938.399999856949,True,0,0,0,33,9,81,20.5
4,2026-07-26T07:43:43.750433+00:00,26,female,硕士及以上,1-3年,10000-20000公里,5,2554.6,nav-led,3372.0999999046326,True,52,19,67,68,92,48,57.67
4,2026-07-26T07:43:43.750433+00:00,26,female,硕士及以上,1-3年,10000-20000公里,5,2554.6,balanced,1999,True,0,0,10,17,18,26,11.83
6,2026-07-26T13:21:34.045422+00:00,26,female,本科,5年以上,>20000公里,4,2063.75,nav-led,2345.7999999523163,True,93,91,76,84,100,73,86.17
6,2026-07-26T13:21:34.045422+00:00,26,female,本科,5年以上,>20000公里,4,2063.75,balanced,1183.7000000476837,True,10,13,21,30,14,15,17.17
6,2026-07-26T13:21:34.045422+00:00,26,female,本科,5年以上,>20000公里,4,2063.75,sr-led,1082.3999998569489,True,5,2,0,1,1,1,1.67
8,2026-07-26T13:47:27.51265+00:00,25,male,本科,1-3年,3000-10000公里,10,870.1,sr-led,3003.7000000476837,True,80,50,20,25,70,30,45.83
8,2026-07-26T13:47:27.51265+00:00,25,male,本科,1-3年,3000-10000公里,10,870.1,nav-led,3187.2999999523163,True,65,40,30,35,55,45,45.0
8,2026-07-26T13:47:27.51265+00:00,25,male,本科,1-3年,3000-10000公里,10,870.1,balanced,2214,True,75,45,15,20,65,35,42.5
9,2026-07-26T13:54:42.558174+00:00,22,female,本科,1-3年,<3000公里,7,4103.857142857143,balanced,3178.399999856949,True,60,45,35,40,55,50,47.5
9,2026-07-26T13:54:42.558174+00:00,22,female,本科,1-3年,<3000公里,7,4103.857142857143,sr-led,3993.9000000953674,False,50,40,30,35,50,45,41.67
9,2026-07-26T13:54:42.558174+00:00,22,female,本科,1-3年,<3000公里,7,4103.857142857143,nav-led,2997.4000000953674,True,65,50,40,45,60,55,52.5
10,2026-07-26T14:12:29.81256+00:00,35,male,本科,5年以上,10000-20000公里,5,6092,nav-led,2781,True,55,70,45,30,60,65,54.17
10,2026-07-26T14:12:29.81256+00:00,35,male,本科,5年以上,10000-20000公里,5,6092,balanced,2194.199999809265,False,40,75,35,45,50,55,50.0
10,2026-07-26T14:12:29.81256+00:00,35,male,本科,5年以上,10000-20000公里,5,6092,sr-led,2113.599999904633,True,65,80,60,20,70,75,61.67
12,2026-07-26T14:18:59.934187+00:00,28,male,硕士及以上,5年以上,10000-20000公里,6,6316.666666666667,sr-led,1789.2999999523163,True,31,0,2,2,6,18,9.83
12,2026-07-26T14:18:59.934187+00:00,28,male,硕士及以上,5年以上,10000-20000公里,6,6316.666666666667,nav-led,1994.3000001907349,True,71,74,60,51,66,53,62.5
12,2026-07-26T14:18:59.934187+00:00,28,male,硕士及以上,5年以上,10000-20000公里,6,6316.666666666667,balanced,2286.600000143051,True,17,16,18,20,11,16,16.33
13,2026-07-26T14:23:30.332555+00:00,31,female,本科,3-5年,3000-10000公里,8,2000.25,balanced,692,True,50,65,40,35,55,60,50.83
13,2026-07-26T14:23:30.332555+00:00,31,female,本科,3-5年,3000-10000公里,8,2000.25,sr-led,691.7999999523163,True,45,70,50,30,60,65,53.33
13,2026-07-26T14:23:30.332555+00:00,31,female,本科,3-5年,3000-10000公里,8,2000.25,nav-led,320.90000009536743,True,60,75,55,25,65,70,58.33
14,2026-07-26T14:25:16.127867+00:00,24,male,大专,5年以上,>20000公里,10,1999.3,nav-led,363.7000000476837,True,45,60,35,40,50,55,47.5
14,2026-07-26T14:25:16.127867+00:00,24,male,大专,5年以上,>20000公里,10,1999.3,balanced,692,True,40,65,45,35,55,60,50.0
14,2026-07-26T14:25:16.127867+00:00,24,male,大专,5年以上,>20000公里,10,1999.3,sr-led,685.9000000953674,True,55,70,50,30,60,65,55.0
15,2026-07-26T14:27:17.585335+00:00,29,female,硕士及以上,1-3年,3000-10000公里,9,1999.2222222222222,nav-led,384.09999990463257,True,65,80,60,20,70,75,61.67
15,2026-07-26T14:27:17.585335+00:00,29,female,硕士及以上,1-3年,3000-10000公里,9,1999.2222222222222,balanced,695.0999999046326,True,55,75,55,25,65,70,57.5
15,2026-07-26T14:27:17.585335+00:00,29,female,硕士及以上,1-3年,3000-10000公里,9,1999.2222222222222,sr-led,696.3999998569489,True,50,70,50,30,60,65,54.17
