subject_id,age,gender,education,occupation,hasLicense,drivingYears,annualMileage,visionStatus,eft_total,eft_avg_rt
2,29.0,male,大专,汽车行业或HMI交互设计或人因工程相关从业人员,yes,3-5年,10000-20000公里,视力较弱或存在未矫正的近视远视散光,9.0,2119.8888888888887
4,26.0,female,硕士及以上,汽车行业或HMI交互设计或人因工程相关从业人员,yes,1-3年,10000-20000公里,正常或矫正视力良好,5.0,2554.6
6,26.0,female,本科,其他行业从业人员,yes,5年以上,>20000公里,正常或矫正视力良好,4.0,2063.75
8,25.0,male,本科,在校学生,yes,1-3年,3000-10000公里,正常或矫正视力良好,10.0,870.1
9,22.0,female,本科,在校学生,yes,1-3年,<3000公里,正常或矫正视力良好,7.0,4103.857142857143
10,35.0,male,本科,其他行业从业人员,yes,5年以上,10000-20000公里,正常或矫正视力良好,5.0,6092.0
12,28.0,male,硕士及以上,其他行业从业人员,yes,5年以上,10000-20000公里,正常或矫正视力良好,6.0,6316.666666666667
13,31.0,female,本科,在校学生,yes,3-5年,3000-10000公里,正常或矫正视力良好,8.0,2000.25
14,24.0,male,大专,职业驾驶员,yes,5年以上,>20000公里,正常或矫正视力良好,10.0,1999.3
15,29.0,female,硕士及以上,汽车行业或HMI交互设计或人因工程相关从业人员,yes,1-3年,3000-10000公里,正常或矫正视力良好,9.0,1999.2222222222222
16,35.0,male,本科,其他行业从业人员,yes,5年以上,10000-20000公里,正常或矫正视力良好,10.0,1998.9
17,28.0,female,硕士及以上,汽车行业或HMI交互设计或人因工程相关从业人员,yes,3-5年,10000-20000公里,正常或矫正视力良好,7.0,2129.0
18,27.0,female,本科,在校学生,yes,1-3年,<3000公里,正常或矫正视力良好,6.0,1998.3333333333333
19,42.0,male,硕士及以上,其他行业从业人员,yes,5年以上,10000-20000公里,正常或矫正视力良好,10.0,1999.9
20,33.0,female,大专,其他行业从业人员,yes,3-5年,3000-10000公里,正常或矫正视力良好,6.0,1999.1666666666667
21,26.0,male,本科,在校学生,yes,1-3年,<3000公里,正常或矫正视力良好,10.0,1998.6
22,38.0,male,大专,职业驾驶员,yes,5年以上,>20000公里,正常或矫正视力良好,5.0,1997.2
23,22.0,female,本科,在校学生,yes,未满1年,<3000公里,正常或矫正视力良好,6.0,1999.3333333333333
24,30.0,male,硕士及以上,汽车行业或HMI交互设计或人因工程相关从业人员,yes,3-5年,10000-20000公里,正常或矫正视力良好,10.0,1999.5
25,28.0,female,本科,其他行业从业人员,yes,1-3年,3000-10000公里,正常或矫正视力良好,6.0,1999.1666666666667
26,45.0,male,大专,职业驾驶员,yes,5年以上,>20000公里,正常或矫正视力良好,10.0,1999.6
27,23.0,male,本科,在校学生,yes,未满1年,<3000公里,正常或矫正视力良好,10.0,1999.0
28,36.0,female,硕士及以上,其他行业从业人员,yes,3-5年,10000-20000公里,正常或矫正视力良好,6.0,1999.1666666666667
29,41.0,male,本科,汽车行业或HMI交互设计或人因工程相关从业人员,yes,5年以上,10000-20000公里,正常或矫正视力良好,10.0,1999.9
30,25.0,female,硕士及以上,在校学生,yes,1-3年,3000-10000公里,正常或矫正视力良好,10.0,1999.0
31,29.0,male,大专,职业驾驶员,yes,5年以上,>20000公里,正常或矫正视力良好,10.0,1997.1
32,24.0,female,本科,在校学生,yes,未满1年,<3000公里,正常或矫正视力良好,6.0,1998.8333333333333
33,37.0,male,硕士及以上,其他行业从业人员,yes,5年以上,10000-20000公里,正常或矫正视力良好,10.0,1999.5
34,31.0,female,本科,汽车行业或HMI交互设计或人因工程相关从业人员,yes,3-5年,3000-10000公里,正常或矫正视力良好,6.0,1999.5
35,28.0,male,大专,其他行业从业人员,yes,1-3年,3000-10000公里,正常或矫正视力良好,10.0,2000.0
36,34.0,female,硕士及以上,在校学生,yes,1-3年,<3000公里,正常或矫正视力良好,6.0,1998.8333333333333
37,43.0,male,本科,职业驾驶员,yes,5年以上,>20000公里,正常或矫正视力良好,10.0,1999.2
38,26.0,female,本科,其他行业从业人员,yes,未满1年,<3000公里,正常或矫正视力良好,6.0,1995.3333333333333
39,39.0,male,硕士及以上,汽车行业或HMI交互设计或人因工程相关从业人员,yes,5年以上,10000-20000公里,正常或矫正视力良好,10.0,1999.3
40,24.0,male,本科,在校学生,yes,1-3年,3000-10000公里,正常或矫正视力良好,8.0,2017.75
41,28.0,female,本科,其他行业从业人员,yes,3-5年,<3000公里,正常或矫正视力良好,10.0,908.2
42,24.0,male,本科,在校学生,yes,1-3年,3000-10000公里,正常或矫正视力良好,1.0,3490.0
43,21.0,female,本科,在校学生,yes,未满1年,<3000公里,正常或矫正视力良好,0.0,
44,21.0,female,大专,在校学生,yes,未满1年,<3000公里,正常或矫正视力良好,5.0,2489.0
45,25.0,female,本科,其他行业从业人员,yes,3-5年,>20000公里,正常或矫正视力良好,8.0,2025.75
46,42.0,male,本科,其他行业从业人员,yes,5年以上,>20000公里,视力较弱或存在未矫正的近视远视散光,5.0,1381.0
47,32.0,female,硕士及以上,汽车行业或HMI交互设计或人因工程相关从业人员,yes,5年以上,>20000公里,正常或矫正视力良好,7.0,1370.857142857143
48,45.0,female,大专,其他行业从业人员,yes,5年以上,>20000公里,视力较弱或存在未矫正的近视远视散光,5.0,2613.2
49,27.0,male,本科,其他行业从业人员,yes,1-3年,10000-20000公里,正常或矫正视力良好,7.0,1603.7142857142858
50,25.0,female,本科,其他行业从业人员,yes,未满1年,<3000公里,正常或矫正视力良好,6.0,3372.8333333333335
51,27.0,male,本科,其他行业从业人员,yes,1-3年,10000-20000公里,正常或矫正视力良好,2.0,1396.5
52,23.0,male,本科,在校学生,yes,1-3年,3000-10000公里,正常或矫正视力良好,8.0,4203.0
53,25.0,female,本科,职业驾驶员,yes,1-3年,<3000公里,正常或矫正视力良好,9.0,5662.4
54,25.0,male,本科,汽车行业或HMI交互设计或人因工程相关从业人员,yes,1-3年,<3000公里,正常或矫正视力良好,6.0,5134.3
55,33.0,male,大专,汽车行业或HMI交互设计或人因工程相关从业人员,yes,5年以上,>20000公里,正常或矫正视力良好,6.0,3839.5
