subject_id,layout,rtlx,mentalDemand,physicalDemand,temporalDemand,performance,effort,frustration
2,nav-led,94.5,94.0,92.0,100.0,95.0,93.0,93.0
2,balanced,99.5,100.0,100.0,98.0,100.0,99.0,100.0
2,sr-led,99.66666666666667,100.0,99.0,100.0,100.0,100.0,99.0
4,sr-led,79.5,100.0,100.0,100.0,67.0,91.0,19.0
4,nav-led,42.333333333333336,48.0,81.0,33.0,32.0,8.0,52.0
4,balanced,88.16666666666667,100.0,100.0,90.0,83.0,82.0,74.0
6,nav-led,13.833333333333334,7.0,9.0,24.0,16.0,0.0,27.0
6,balanced,82.83333333333333,90.0,87.0,79.0,70.0,86.0,85.0
6,sr-led,98.33333333333333,95.0,98.0,100.0,99.0,99.0,99.0
8,sr-led,54.166666666666664,20.0,50.0,80.0,75.0,30.0,70.0
8,nav-led,55.0,35.0,60.0,70.0,65.0,45.0,55.0
8,balanced,57.5,25.0,55.0,85.0,80.0,35.0,65.0
9,balanced,52.5,40.0,55.0,65.0,60.0,45.0,50.0
9,sr-led,58.333333333333336,50.0,60.0,70.0,65.0,50.0,55.0
9,nav-led,47.5,35.0,50.0,60.0,55.0,40.0,45.0
10,nav-led,45.833333333333336,45.0,30.0,55.0,70.0,40.0,35.0
10,balanced,50.0,60.0,25.0,65.0,55.0,50.0,45.0
10,sr-led,38.333333333333336,35.0,20.0,40.0,80.0,30.0,25.0
12,sr-led,90.16666666666667,69.0,100.0,98.0,98.0,94.0,82.0
12,nav-led,37.5,29.0,26.0,40.0,49.0,34.0,47.0
12,balanced,83.66666666666667,83.0,84.0,82.0,80.0,89.0,84.0
13,balanced,49.166666666666664,50.0,35.0,60.0,65.0,45.0,40.0
13,sr-led,46.666666666666664,55.0,30.0,50.0,70.0,40.0,35.0
13,nav-led,41.666666666666664,40.0,25.0,45.0,75.0,35.0,30.0
14,nav-led,52.5,55.0,40.0,65.0,60.0,50.0,45.0
14,balanced,50.0,60.0,35.0,55.0,65.0,45.0,40.0
14,sr-led,45.0,45.0,30.0,50.0,70.0,40.0,35.0
15,nav-led,38.333333333333336,35.0,20.0,40.0,80.0,30.0,25.0
15,balanced,42.5,45.0,25.0,45.0,75.0,35.0,30.0
15,sr-led,45.833333333333336,50.0,30.0,50.0,70.0,40.0,35.0
16,nav-led,41.666666666666664,40.0,25.0,45.0,75.0,35.0,30.0
16,balanced,45.833333333333336,50.0,30.0,50.0,70.0,40.0,35.0
16,sr-led,49.166666666666664,55.0,35.0,55.0,65.0,45.0,40.0
17,balanced,83.5,71.0,85.0,91.0,80.0,85.0,89.0
17,sr-led,88.0,82.0,93.0,86.0,89.0,90.0,88.0
17,nav-led,16.833333333333332,21.0,9.0,11.0,16.0,7.0,37.0
18,balanced,51.666666666666664,60.0,40.0,55.0,60.0,50.0,45.0
18,sr-led,46.666666666666664,50.0,35.0,50.0,70.0,40.0,35.0
18,nav-led,43.333333333333336,45.0,30.0,45.0,75.0,35.0,30.0
19,sr-led,35.833333333333336,30.0,20.0,35.0,85.0,25.0,20.0
19,nav-led,40.0,40.0,25.0,40.0,80.0,30.0,25.0
19,balanced,43.333333333333336,45.0,30.0,45.0,75.0,35.0,30.0
20,sr-led,50.0,55.0,35.0,60.0,65.0,45.0,40.0
20,nav-led,51.666666666666664,60.0,40.0,55.0,60.0,50.0,45.0
20,balanced,45.833333333333336,50.0,30.0,50.0,70.0,40.0,35.0
21,balanced,45.0,45.0,30.0,50.0,70.0,40.0,35.0
21,sr-led,49.166666666666664,55.0,35.0,55.0,65.0,45.0,40.0
21,nav-led,52.5,60.0,40.0,60.0,60.0,50.0,45.0
22,balanced,39.166666666666664,35.0,25.0,40.0,80.0,30.0,25.0
22,sr-led,42.5,40.0,30.0,45.0,75.0,35.0,30.0
22,nav-led,46.666666666666664,50.0,35.0,50.0,70.0,40.0,35.0
23,sr-led,51.666666666666664,60.0,40.0,55.0,60.0,50.0,45.0
