subject_id,layout,rtlx,mentalDemand,physicalDemand,temporalDemand,performance,effort,frustration
2,nav-led,5.5,6,8,0,5,7,7
2,balanced,0.5,0,0,2,0,1,0
2,sr-led,0.3333333333333333,0,1,0,0,0,1
4,sr-led,20.5,0,0,0,33,9,81
4,nav-led,57.666666666666664,52,19,67,68,92,48
4,balanced,11.833333333333334,0,0,10,17,18,26
6,nav-led,86.16666666666667,93,91,76,84,100,73
6,balanced,17.166666666666668,10,13,21,30,14,15
6,sr-led,1.6666666666666667,5,2,0,1,1,1
8,sr-led,45.833333333333336,80,50,20,25,70,30
8,nav-led,45.0,65,40,30,35,55,45
8,balanced,42.5,75,45,15,20,65,35
9,balanced,47.5,60,45,35,40,55,50
9,sr-led,41.666666666666664,50,40,30,35,50,45
9,nav-led,52.5,65,50,40,45,60,55
10,nav-led,54.166666666666664,55,70,45,30,60,65
10,balanced,50.0,40,75,35,45,50,55
10,sr-led,61.666666666666664,65,80,60,20,70,75
12,sr-led,9.833333333333334,31,0,2,2,6,18
12,nav-led,62.5,71,74,60,51,66,53
12,balanced,16.333333333333332,17,16,18,20,11,16
13,balanced,50.833333333333336,50,65,40,35,55,60
13,sr-led,53.333333333333336,45,70,50,30,60,65
13,nav-led,58.333333333333336,60,75,55,25,65,70
14,nav-led,47.5,45,60,35,40,50,55
14,balanced,50.0,40,65,45,35,55,60
14,sr-led,55.0,55,70,50,30,60,65
15,nav-led,61.666666666666664,65,80,60,20,70,75
15,balanced,57.5,55,75,55,25,65,70
15,sr-led,54.166666666666664,50,70,50,30,60,65
16,nav-led,58.333333333333336,60,75,55,25,65,70
16,balanced,54.166666666666664,50,70,50,30,60,65
16,sr-led,50.833333333333336,45,65,45,35,55,60
17,balanced,16.5,29,15,9,20,15,11
17,sr-led,12.0,18,7,14,11,10,12
17,nav-led,83.16666666666667,79,91,89,84,93,63
18,balanced,48.333333333333336,40,60,45,40,50,55
18,sr-led,53.333333333333336,50,65,50,30,60,65
18,nav-led,56.666666666666664,55,70,55,25,65,70
19,sr-led,64.16666666666667,70,80,65,15,75,80
19,nav-led,60.0,60,75,60,20,70,75
19,balanced,56.666666666666664,55,70,55,25,65,70
20,sr-led,50.0,45,65,40,35,55,60
20,nav-led,48.333333333333336,40,60,45,40,50,55
20,balanced,54.166666666666664,50,70,50,30,60,65
21,balanced,55.0,55,70,50,30,60,65
21,sr-led,50.833333333333336,45,65,45,35,55,60
21,nav-led,47.5,40,60,40,40,50,55
22,balanced,60.833333333333336,65,75,60,20,70,75
22,sr-led,57.5,60,70,55,25,65,70
22,nav-led,53.333333333333336,50,65,50,30,60,65
23,sr-led,48.333333333333336,40,60,45,40,50,55
23,nav-led,51.666666666666664,45,65,50,35,55,60
23,balanced,55.0,50,70,55,30,60,65
24,balanced,58.333333333333336,60,75,55,25,65,70
24,sr-led,48.333333333333336,40,60,45,40,50,55
24,nav-led,54.166666666666664,50,70,50,30,60,65
25,nav-led,50.833333333333336,45,65,45,35,55,60
25,balanced,45.0,35,55,40,45,45,50
25,sr-led,54.166666666666664,50,70,50,30,60,65
26,nav-led,60.0,60,75,60,20,70,75
26,balanced,55.833333333333336,50,70,55,25,65,70
26,sr-led,52.5,45,65,50,30,60,65
27,balanced,48.333333333333336,40,60,45,40,50,55
27,sr-led,45.0,35,55,40,45,45,50
27,nav-led,50.833333333333336,45,65,45,35,55,60
28,balanced,54.166666666666664,50,70,50,30,60,65
28,sr-led,50.833333333333336,45,65,45,35,55,60
28,nav-led,47.5,40,60,40,40,50,55
29,nav-led,60.0,60,75,60,20,70,75
29,balanced,55.833333333333336,50,70,55,25,65,70
29,sr-led,52.5,45,65,50,30,60,65
30,sr-led,50.833333333333336,45,65,45,35,55,60
30,nav-led,47.5,40,60,40,40,50,55
30,balanced,45.0,35,55,40,45,45,50
31,balanced,60.833333333333336,65,75,60,20,70,75
31,sr-led,56.666666666666664,55,70,55,25,65,70
31,nav-led,52.5,45,65,50,30,60,65
